product_id,manufacturer,mpn,description,category,raw_specs
SCALE-0001,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0002,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
SCALE-0003,DELTA,9192-DST,"Delta Trinsic single handle faucet, matte black, wall mount",Faucets,24in reach
SCALE-0004,Kohler Company,K-596,Kohler Simplice pull-down kitchen faucet stainless steel touchless,Faucets,Weight: 4.5 lbs
SCALE-0005,American Std,7038.000,American Standard Colony two-handle kitchen faucet chrome,Faucets,Height 12 in
SCALE-0006,Speed Queen,SWT121,GE top load washer with electromechanical controls 120V,Laundry,Voltage: 120v Watts: 500w
SCALE-0007,GE Appliances,GTW465,GE top load washer electronic control 120 volts,Laundry,500 watts
SCALE-0008,Watts,LFN170M2,Watts brass threaded ball valve fitting 1/2 in,Fittings,0.5 in
SCALE-0009,NIBCO INC,C-9450,NIBCO copper press fitting elbow,Fittings,Weight: 0.25 lb
SCALE-0010,Viega GmbH,V-2971,Viega PEX push-fit coupling brass,Fittings,
SCALE-0011,Unknown,9192-XYZ,"Faucet, single handle, chrome, deck mount, GE brand appliance grade",Faucets,24 in
SCALE-0012,Zurn Industries,QT4,Zurn stainless steel press fitting,Fittings,
SCALE-0013,Grohe,33555,Grohe Eurosmart single lever basin mixer chrome wall mount,Faucets,Height: 6 in
SCALE-0014,Price Pfister,G529,Pfister Ashfield double handle bronze finish faucet,Faucets,Weight: 3.75 lb
SCALE-0015,-- Unbranded --,,"Generic replacement fitting, material unknown, no MPN available",Fittings,
SCALE-0016,Moen Inc,7000,Small faucet unit,Faucets,Weight: 1000 kg
SCALE-0017,Delta Faucet,RP50780,"Delta replacement cartridge, service part",Fittings,0.1 lb
SCALE-0018,Kohler,72218,Kohler Purist widespread bathroom faucet brushed nickel deck mount,Faucets,8 in spread
SCALE-0019,Speed Queen,LWN432,Speed Queen front load commercial washer electronic control,Laundry,240v
SCALE-0020,Amazon Basics,AB-1002,"Generic kitchen faucet sold on marketplace, chrome",Faucets,
SCALE-0021,Moen,7000,Moen 7000 single handle kitchen faucet chrome finish deck mount,Faucets,Height: 15in Weight: 3lb
SCALE-0022,-- Unbranded --,CA87-BN,"Moen Align single-handle pull-down kitchen faucet, brushed nickel",Faucets,Height: 15.25 in
