product_id,manufacturer_expected,brand_expected,category_expected
P001,Moen Incorporated,Moen,Faucets
P002,Moen Incorporated,Moen,Faucets
P003,Delta Faucet Company,Delta,Faucets
P004,Kohler Co.,Kohler,Faucets
P005,American Standard Brands,American Standard,Faucets
P006,Speed Queen (Alliance Laundry Systems),Speed Queen,Laundry
P007,General Electric (GE Appliances),GE,Laundry
P008,Watts Water Technologies,Watts,Fittings
P009,NIBCO Inc.,NIBCO,Fittings
P010,Viega LLC,Viega,Fittings
P011,UNKNOWN,UNKNOWN,Faucets
P012,Zurn Elkay Water Solutions,Zurn,Fittings
P013,Grohe America,Grohe,Faucets
P014,Pfister (Spectrum Brands),Pfister,Faucets
P015,UNKNOWN,UNKNOWN,Fittings
P016,Moen Incorporated,Moen,Faucets
P017,Delta Faucet Company,Delta,Fittings
P018,Kohler Co.,Kohler,Faucets
P019,Speed Queen (Alliance Laundry Systems),Speed Queen,Laundry
P020,UNKNOWN,UNKNOWN,Faucets
