manufacturer,brand,aliases,mpn_prefixes,category_focus
Moen Incorporated,Moen,MOEN;Moen Inc,7000;CA87,Faucets
Delta Faucet Company,Delta,DELTA;Delta Faucet,RP;9192,Faucets
Kohler Co.,Kohler,KOHLER;Kohler Company,K-;72218,Faucets
American Standard Brands,American Standard,AMSTD;American Std,7038;2425,Faucets
Speed Queen (Alliance Laundry Systems),Speed Queen,SQ;Speed-Queen,SWT;LWN,Laundry
General Electric (GE Appliances),GE,GE Appliances;General Electric Co,GTW;PTW,Laundry
Watts Water Technologies,Watts,WATTS;Watts Regulator,LFN;U5,Fittings
NIBCO Inc.,NIBCO,NIBCO INC;Nibco,C;T,Fittings
Viega LLC,Viega,VIEGA;Viega GmbH,V;PEX,Fittings
Zurn Elkay Water Solutions,Zurn,ZURN;Zurn Industries,Z;QT,Fittings
Grohe America,Grohe,GROHE;Grohe AG,GRO;33,Faucets
Pfister (Spectrum Brands),Pfister,PFISTER;Price Pfister,G;LG,Faucets
